nim,nama,prodi,masa_studi,true_label,IPK1,SKS1,IPK2,SKS2,IPK3,SKS3,IPK4,SKS4,IPK5,SKS5,IPK_1,SKS_1,IPK_2,SKS_2,IPK_3,SKS_3,IPK_4,SKS_4,IPK_5,SKS_5
1710129120001,MHSIPA17001,Pendidikan IPA,> 4 Tahun,Tidak Tepat Sangat Memuaskan,3.36,20,3.4,42,3.36,63,3.31,84,3.22,106,-0.025442355,0.02475824,0.258814616,0.142660559,0.288475744,-0.00432469,0.126179967,0.120927981,-0.323607126,0.26337098
1710129320001,MHSIPA17002,Pendidikan IPA,> 4 Tahun,Tidak Tepat Sangat Memuaskan,3.41,20,3.38,42,3.51,64,3.24,84,3.25,106,0.142513406,0.02475824,0.202031516,0.142660559,0.743382945,0.316567306,-0.1044248,0.120927981,-0.216348421,0.26337098
1710129220002,MHSIPA17003,Pendidikan IPA,> 4 Tahun,Tidak Tepat Sangat Memuaskan,3.34,20,3.48,42,3.41,66,3.4,87,3.37,109,-0.09262466,0.02475824,0.485947017,0.142660559,0.440111478,0.958351299,0.422671811,0.716471534,0.212686399,0.688199821
1710129220003,MHSIPA17004,Pendidikan IPA,> 4 Tahun,Tidak Tepat Sangat Memuaskan,3.6,20,3.68,44,3.67,68,3.64,91,3.4,106,0.780745301,0.02475824,1.05377802,1.573121844,1.228617293,1.600135291,1.213316728,1.510529604,0.319945104,0.26337098
1710129220004,MHSIPA17005,Pendidikan IPA,> 4 Tahun,Tidak Tepat Sangat Memuaskan,3.4,20,3.59,42,3.53,64,3.67,87,3.61,113,0.108922254,0.02475824,0.798254069,0.142660559,0.804037239,0.316567306,1.312147342,0.716471534,1.070756039,1.254638276
1710129320002,MHSIPA17006,Pendidikan IPA,> 4 Tahun,Tidak Tepat Sangat Memuaskan,3.67,20,3.79,44,3.65,66,3.61,91,3.59,115,1.015883367,0.02475824,1.366085071,1.573121844,1.167963,0.958351299,1.114486113,1.510529604,0.999250236,1.537857504
1710129120002,MHSIPA17007,Pendidikan IPA,> 4 Tahun,Tidak Tepat Sangat Memuaskan,3.41,20,3.52,42,3.53,66,3.43,89,3.41,111,0.142513406,0.02475824,0.599513218,0.142660559,0.804037239,0.958351299,0.521502425,1.113500569,0.355698006,0.971419049
1710129220005,MHSIPA17008,Pendidikan IPA,> 4 Tahun,Tidak Tepat Sangat Memuaskan,3.78,20,3.73,44,3.61,68,3.2,89,3.46,104,1.385386043,0.02475824,1.195735771,1.573121844,1.046654413,1.600135291,-0.236198953,1.113500569,0.534462514,-0.019848248
1710129220007,MHSIPA17009,Pendidikan IPA,> 4 Tahun,Tidak Tepat Sangat Memuaskan,3.59,20,3.51,44,3.69,68,3.54,89,3.59,115,0.747154149,0.02475824,0.571121668,1.573121844,1.289271587,1.600135291,0.883881346,1.113500569,0.999250236,1.537857504
1710129220008,MHSIPA17010,Pendidikan IPA,> 4 Tahun,Tidak Tepat Sangat Memuaskan,3.65,20,3.4,44,3.56,66,3.51,87,3.38,104,0.948701063,0.02475824,0.258814616,1.573121844,0.895018679,0.958351299,0.785050731,0.716471534,0.248439301,-0.019848248
