nim,nama,prodi,IPK1,SKS1,IPK2,SKS2,IPK3,SKS3,IPK4,SKS4,IPK5,SKS5,IPK_1,SKS_1,IPK_2,SKS_2,IPK_3,SKS_3,IPK_4,SKS_4,IPK_5,SKS_5
1910129120001,MHSIPA19023,Pendidikan IPA,3.73,20,3.8,44,3.76,68,3.75,91,3.77,115,1.007118353,0.185353936,1.096122542,1.249698535,1.000314962,0.860227242,0.966378693,0.768200117,0.949751366,0.748258058
1910129120012,MHSIPA19024,Pendidikan IPA,3.4,20,3.57,42,3.55,64,3.57,86,3.6,110,0.130993011,0.185353936,0.434322949,-0.088362523,0.335032289,-0.108957038,0.399272722,-0.109900664,0.433528172,0.075333673
1910129220015,MHSIPA19025,Pendidikan IPA,3.04,18,3.19,38,3.51,60,3.38,78,3.49,98,-0.824780089,-1.574125222,-0.659085075,-2.764484638,0.20831178,-1.078141318,-0.199339136,-1.514861913,0.0995014,-1.539684851
1910129220029,MHSIPA19026,Pendidikan IPA,3.13,20,3.34,42,3.39,63,3.4,86,3.5,110,-0.585836814,0.185353936,-0.227476644,-0.088362523,-0.171849747,-0.351253108,-0.136327361,-0.109900664,0.12986747,0.075333673
1910129220004,MHSIPA19027,Pendidikan IPA,2.89,18,3.16,40,3.23,60,3.29,83,3.35,105,-1.223018881,-1.574125222,-0.745406761,-1.42642358,-0.678731783,-1.078141318,-0.482892121,-0.636761132,-0.325623583,-0.597590712
1910129210017,MHSIPA19028,Pendidikan IPA,3.14,20,3.49,40,3.54,64,3.51,67,3.53,113,-0.559287561,0.185353936,0.204131786,-1.42642358,0.303352162,-0.108957038,0.210237399,-3.446683631,0.220965681,0.479088304
1910129210027,MHSIPA19029,Pendidikan IPA,3.6,20,3.65,42,3.67,68,3.67,91,3.71,115,0.661978067,0.185353936,0.664514112,-0.088362523,0.715193817,0.860227242,0.714331595,0.768200117,0.767554945,0.748258058
1910129320011,MHSIPA19030,Pendidikan IPA,3.15,18,3.38,40,3.45,64,3.5,87,3.58,111,-0.532738308,-1.574125222,-0.112381063,-1.42642358,0.018231017,-0.108957038,0.178731511,0.065719492,0.372796032,0.20991855
1910129220013,MHSIPA19031,Pendidikan IPA,3.51,20,3.57,44,3.6,64,3.66,91,3.67,115,0.423034792,0.185353936,0.434322949,1.249698535,0.493432926,-0.108957038,0.682825708,0.768200117,0.646090664,0.748258058
1910129320010,MHSIPA19032,Pendidikan IPA,3.44,20,3.57,42,3.6,66,3.62,89,3.62,113,0.237190023,0.185353936,0.434322949,-0.088362523,0.493432926,0.375635102,0.556802159,0.416959805,0.494260313,0.479088304
1910129120015,MHSIPA19033,Pendidikan IPA,3.59,20,3.64,44,3.71,68,3.69,91,3.7,115,0.635428814,0.185353936,0.635740216,1.249698535,0.841914326,0.860227242,0.77734337,0.768200117,0.737188874,0.748258058
1910129220010,MHSIPA19034,Pendidikan IPA,3.57,20,3.44,43,3.49,64,3.48,86,3.51,110,0.582330309,0.185353936,0.060262309,0.580668006,0.144951526,-0.108957038,0.115719737,-0.109900664,0.16023354,0.075333673
1910129320009,MHSIPA19035,Pendidikan IPA,3.28,18,3.44,40,3.47,64,3.47,87,3.51,109,-0.187598022,-1.574125222,0.060262309,-1.42642358,0.081591271,-0.108957038,0.08421385,0.065719492,0.16023354,-0.059251204
1910129120019,MHSIPA19036,Pendidikan IPA,3.51,20,3.61,44,3.77,68,3.41,84,3.47,108,0.423034792,0.185353936,0.54941853,1.249698535,1.031995089,0.860227242,-0.104821474,-0.461140976,0.038769259,-0.193836081
1910129210030,MHSIPA19037,Pendidikan IPA,3.46,20,3.57,42,3.74,68,3.75,67,3.69,115,0.290288528,0.185353936,0.434322949,-0.088362523,0.936954707,0.860227242,0.966378693,-3.446683631,0.706822804,0.748258058
1910129120008,MHSIPA19038,Pendidikan IPA,3.64,20,3.73,44,3.77,68,3.78,91,3.67,115,0.768175078,0.185353936,0.894705275,1.249698535,1.031995089,0.860227242,1.060896355,0.768200117,0.646090664,0.748258058
1910129120007,MHSIPA19039,Pendidikan IPA,3.56,20,3.65,44,3.72,68,3.71,91,3.71,115,0.555781056,0.185353936,0.664514112,1.249698535,0.873594453,0.860227242,0.840355144,0.768200117,0.767554945,0.748258058
1910129220005,MHSIPA19040,Pendidikan IPA,3.23,20,3.51,42,3.48,60,3.57,86,3.57,110,-0.320344286,0.185353936,0.261679577,-0.088362523,0.113271398,-1.078141318,0.399272722,-0.109900664,0.342429962,0.075333673
1910129320013,MHSIPA19041,Pendidikan IPA,3.55,20,3.7,44,3.73,68,3.74,91,3.73,115,0.529231803,0.185353936,0.808383589,1.249698535,0.90527458,0.860227242,0.934872806,0.768200117,0.828287085,0.748258058
1910129120017,MHSIPA19042,Pendidikan IPA,3.44,20,3.6,42,3.63,66,3.67,89,3.74,113,0.237190023,0.185353936,0.520644635,-0.088362523,0.588473307,0.375635102,0.714331595,0.416959805,0.858653155,0.479088304
1910129220007,MHSIPA19043,Pendidikan IPA,3.45,20,3.54,42,3.59,66,3.58,89,3.61,111,0.263739275,0.185353936,0.348001263,-0.088362523,0.461752798,0.375635102,0.43077861,0.416959805,0.463894242,0.20991855
1910129320002,MHSIPA19044,Pendidikan IPA,3.29,20,3.5,42,3.56,66,3.59,89,3.56,113,-0.161048769,0.185353936,0.232905681,-0.088362523,0.366712417,0.375635102,0.462284497,0.416959805,0.312063891,0.479088304
1910129220008,MHSIPA19045,Pendidikan IPA,3.51,20,3.67,44,3.82,68,3.81,91,3.81,115,0.423034792,0.185353936,0.722061903,1.249698535,1.190395726,0.860227242,1.155414017,0.768200117,1.071215647,0.748258058
1910129220028,MHSIPA19046,Pendidikan IPA,3.34,20,3.61,42,3.66,66,3.71,89,3.74,113,-0.028302505,0.185353936,0.54941853,-0.088362523,0.683513689,0.375635102,0.840355144,0.416959805,0.858653155,0.479088304
1910129220026,MHSIPA19047,Pendidikan IPA,3.43,20,3.58,42,3.51,66,3.71,89,3.64,113,0.21064077,0.185353936,0.463096844,-0.088362523,0.20831178,0.375635102,0.840355144,0.416959805,0.554992453,0.479088304
